Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2016-10-26,PHI,,OKC,L 97-103,*,22:25,6,16,.375,1,3,.333,5,13,.385,.406,7,8,.875,0,7,7,0,0,2,4,4,20,8.7,-6
2,2,2,2016-10-29,PHI,,ATL,L 72-104,*,15:28,5,9,.556,1,1,1.000,4,8,.500,.611,3,4,.750,0,2,2,1,1,2,3,3,14,8.8,-3
3,3,3,2016-11-01,PHI,,ORL,L 101-103,*,24:52,6,12,.500,0,1,.000,6,11,.545,.500,6,9,.667,3,7,10,3,0,4,4,2,18,15.1,5
3,,4,2016-11-02,PHI,@,CHO,L 93-109,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
4,4,5,2016-11-05,PHI,,CLE,L 101-102,*,25:15,7,13,.538,4,4,1.000,3,9,.333,.692,4,4,1.000,2,4,6,2,1,4,6,3,22,16.3,-11
5,5,6,2016-11-07,PHI,,UTA,L 84-109,*,19:12,4,8,.500,0,0,,4,8,.500,.500,6,9,.667,4,5,9,0,1,1,5,5,14,7.8,-7
5,,7,2016-11-09,PHI,@,IND,L 115-122 (OT),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
6,6,8,2016-11-11,PHI,,IND,W 109-105 (OT),*,25:45,6,18,.333,1,3,.333,5,15,.333,.361,12,14,.857,3,4,7,2,0,2,5,3,25,13.9,4
6,,9,2016-11-12,PHI,@,ATL,L 96-117,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
7,7,10,2016-11-14,PHI,@,HOU,L 88-115,*,22:31,6,10,.600,0,2,.000,6,8,.750,.600,1,1,1.000,2,8,10,1,1,2,6,5,13,7.3,3
7,,11,2016-11-16,PHI,,WAS,W 109-102,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
