Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,32,1,2017-10-18,PHI,@,WAS,L 115-120,*,26:57,7,15,.467,0,4,.000,7,11,.636,.467,4,4,1.000,1,12,13,3,0,1,4,2,18,12.6,1
2,33,2,2017-10-20,PHI,,BOS,L 92-102,*,28:02,4,16,.250,0,6,.000,4,10,.400,.250,3,3,1.000,2,12,14,3,1,2,3,1,11,7.5,-4
2,,3,2017-10-21,PHI,@,TOR,L 94-128,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,34,4,2017-10-23,PHI,@,DET,W 97-86,*,28:11,11,15,.733,1,1,1.000,10,14,.714,.767,7,8,.875,0,9,9,0,2,0,7,5,30,19.2,21
4,35,5,2017-10-25,PHI,,HOU,L 104-105,*,24:58,8,13,.615,1,2,.500,7,11,.636,.654,4,5,.800,0,6,6,3,1,2,3,3,21,16.8,-1
5,36,6,2017-10-28,PHI,@,DAL,W 112-110,*,29:21,8,19,.421,3,7,.429,5,12,.417,.500,4,6,.667,3,6,9,4,0,0,7,4,23,10.2,-4
6,37,7,2017-10-30,PHI,@,HOU,W 115-107,*,24:56,9,12,.750,0,1,.000,9,11,.818,.750,4,6,.667,2,7,9,5,2,1,3,5,22,21.1,17
7,38,8,2017-11-01,PHI,,ATL,W 119-109,*,30:15,9,16,.563,1,3,.333,8,13,.615,.594,2,5,.400,2,10,12,6,3,3,2,4,21,22.3,2
8,39,9,2017-11-03,PHI,,IND,W 121-110,*,27:49,7,15,.467,0,1,.000,7,14,.500,.467,4,5,.800,2,7,9,5,2,2,6,4,18,12.7,12
8,,10,2017-11-07,PHI,@,UTA,W 104-97,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,40,11,2017-11-09,PHI,@,SAC,L 108-109,*,32:19,7,20,.350,1,4,.250,6,16,.375,.375,7,8,.875,3,12,15,2,0,3,5,3,22,13.4,9
10,41,12,2017-11-11,PHI,@,GSW,L 114-135,*,25:10,4,11,.364,0,1,.000,4,10,.400,.364,4,4,1.000,3,4,7,2,1,1,7,2,12,4.5,-9
11,42,13,2017-11-13,PHI,@,LAC,W 109-105,*,35:48,11,20,.550,1,5,.200,10,15,.667,.575,9,16,.563,2,14,16,2,0,1,4,4,32,21.7,23
12,43,14,2017-11-15,PHI,@,LAL,W 115-109,*,34:29,14,20,.700,2,3,.667,12,17,.706,.750,16,19,.842,2,13,15,7,0,7,2,4,46,47.9,19
13,44,15,2017-11-18,PHI,,GSW,L 116-124,*,33:23,7,16,.438,1,4,.250,6,12,.500,.469,6,8,.750,2,6,8,3,0,1,5,4,21,11.2,-10
14,45,16,2017-11-20,PHI,,UTA,W 107-86,*,26:59,7,17,.412,0,3,.000,7,14,.500,.412,1,4,.250,2,9,11,3,0,2,2,2,15,9.5,16
15,46,17,2017-11-22,PHI,,POR,W 101-81,*,30:09,11,19,.579,1,3,.333,10,16,.625,.605,5,5,1.000,3,9,12,1,0,2,4,5,28,20.0,9
16,47,18,2017-11-25,PHI,,ORL,W 130-111,*,28:34,7,17,.412,1,1,1.000,6,16,.375,.441,3,4,.750,4,10,14,6,0,0,5,3,18,12.3,14
17,48,19,2017-11-27,PHI,,CLE,L 91-113,*,32:49,11,24,.458,0,2,.000,11,22,.500,.458,8,9,.889,5,6,11,0,0,0,1,4,30,19.9,-23
18,49,20,2017-11-29,PHI,,WAS,W 118-113,*,32:11,6,15,.400,0,0,,6,15,.400,.400,13,18,.722,7,7,14,4,1,4,3,6,25,23.1,3
18,,21,2017-11-30,PHI,@,BOS,L 97-108,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,50,22,2017-12-02,PHI,,DET,W 108-103,*,31:48,7,21,.333,0,3,.000,7,18,.389,.333,11,12,.917,5,5,10,0,1,0,6,4,25,11.1,2
20,51,23,2017-12-04,PHI,,PHO,L 101-115,*,34:02,7,18,.389,0,0,,7,18,.389,.389,8,8,1.000,2,10,12,2,0,4,0,1,22,20.4,-11
21,52,24,2017-12-07,PHI,,LAL,L 104-107,*,36:21,11,17,.647,2,3,.667,9,14,.643,.706,9,10,.900,1,6,7,6,1,5,4,5,33,30.3,14
21,,25,2017-12-09,PHI,@,CLE,L 98-105,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,26,2017-12-10,PHI,@,NOP,L 124-131,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
22,53,27,2017-12-12,PHI,@,MIN,W 118-112 (OT),*,39:26,8,16,.500,1,1,1.000,7,15,.467,.531,11,12,.917,1,11,12,8,0,1,2,5,28,25.9,19
23,54,28,2017-12-15,PHI,,OKC,L 117-119 (3OT),*,48:39,11,20,.550,0,3,.000,11,17,.647,.550,12,13,.923,0,8,8,6,0,2,7,3,34,23.8,6
23,,29,2017-12-18,PHI,@,CHI,L 115-117,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,30,2017-12-19,PHI,,SAC,L 95-101,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,31,2017-12-21,PHI,,TOR,L 109-114,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,55,32,2017-12-23,PHI,@,TOR,L 86-102,*,22:57,5,13,.385,1,4,.250,4,9,.444,.423,3,4,.750,0,8,8,2,0,3,5,2,14,6.6,-19
25,56,33,2017-12-25,PHI,@,NYK,W 105-98,*,34:29,8,17,.471,2,3,.667,6,14,.429,.529,7,8,.875,3,13,16,3,0,3,6,3,25,18.9,25
26,57,34,2017-12-28,PHI,@,POR,L 110-114,*,34:52,9,21,.429,6,12,.500,3,9,.333,.571,5,8,.625,1,8,9,3,0,1,4,4,29,17.0,0
26,,35,2017-12-30,PHI,@,DEN,W 107-102,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
27,58,36,2017-12-31,PHI,@,PHO,W 123-110,*,31:15,8,14,.571,0,3,.000,8,11,.727,.571,6,8,.750,1,8,9,5,1,2,7,5,22,14.6,32
28,59,37,2018-01-03,PHI,,SAS,W 112-106,*,35:20,6,12,.500,0,2,.000,6,10,.600,.500,9,11,.818,2,9,11,4,1,4,3,3,21,20.7,16
29,60,38,2018-01-05,PHI,,DET,W 114-78,*,24:31,9,16,.563,1,2,.500,8,14,.571,.594,4,5,.800,2,7,9,0,0,1,1,3,23,17.0,25
30,61,39,2018-01-11,PHI,,BOS,L 103-114,*,30:34,6,17,.353,1,5,.200,5,12,.417,.382,2,3,.667,0,10,10,5,2,1,4,2,15,9.5,-7
31,62,40,2018-01-15,PHI,,TOR,W 117-111,*,34:28,11,21,.524,1,5,.200,10,16,.625,.548,11,14,.786,5,6,11,3,0,1,7,4,34,22.0,-2
