Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,843,1,2014-10-30,CLE,,NYK,L 90-95,*,43:14,5,15,.333,1,5,.200,4,10,.400,.367,6,7,.857,0,5,5,4,0,0,8,3,17,3.2,-13
2,844,2,2014-10-31,CLE,@,CHI,W 114-108 (OT),*,41:40,14,30,.467,1,3,.333,13,27,.481,.483,7,9,.778,1,7,8,5,4,1,3,1,36,27.4,-3
3,845,3,2014-11-04,CLE,@,POR,L 82-101,*,34:56,4,12,.333,2,4,.500,2,8,.250,.417,1,1,1.000,1,6,7,7,1,0,3,2,11,8.8,-15
4,846,4,2014-11-05,CLE,@,UTA,L 100-102,*,42:02,8,18,.444,3,5,.600,5,13,.385,.528,12,12,1.000,0,3,3,4,3,0,4,2,31,23.5,3
5,847,5,2014-11-07,CLE,@,DEN,W 110-101,*,39:38,8,18,.444,1,5,.200,7,13,.538,.472,5,6,.833,0,7,7,11,1,1,3,1,22,20.3,14
6,848,6,2014-11-10,CLE,,NOP,W 118-111,*,40:26,9,17,.529,1,3,.333,8,14,.571,.559,13,17,.765,2,9,11,9,1,1,4,1,32,29.8,15
7,849,7,2014-11-14,CLE,@,BOS,W 122-121,*,40:51,16,27,.593,3,8,.375,13,19,.684,.648,6,9,.667,0,4,4,7,0,1,3,4,41,29.5,10
8,850,8,2014-11-15,CLE,,ATL,W 127-94,*,28:54,13,20,.650,4,5,.800,9,15,.600,.750,2,4,.500,2,4,6,7,0,1,3,1,32,27.2,14
9,851,9,2014-11-17,CLE,,DEN,L 97-106,*,40:34,8,18,.444,1,4,.250,7,14,.500,.472,5,7,.714,0,9,9,5,0,2,4,2,22,14.6,-13
10,852,10,2014-11-19,CLE,,SAS,L 90-92,*,34:06,6,17,.353,2,3,.667,4,14,.286,.412,1,1,1.000,3,3,6,9,1,1,5,3,15,10.3,-3
11,853,11,2014-11-21,CLE,@,WAS,L 78-91,*,39:02,8,21,.381,2,7,.286,6,14,.429,.429,4,7,.571,3,1,4,4,1,1,3,0,22,13.2,-13
12,854,12,2014-11-22,CLE,,TOR,L 93-110,*,37:17,6,12,.500,1,4,.250,5,8,.625,.542,2,3,.667,0,1,1,10,1,1,5,2,15,11.8,-8
13,855,13,2014-11-24,CLE,,ORL,W 106-74,*,31:00,9,17,.529,2,4,.500,7,13,.538,.588,9,11,.818,1,3,4,11,3,0,1,0,29,31.2,19
14,856,14,2014-11-26,CLE,,WAS,W 113-87,*,36:05,7,14,.500,1,5,.200,6,9,.667,.536,14,17,.824,1,9,10,8,3,0,4,3,29,27.6,24
