1,1,1,2003-10-29,CLE,@,SAC,L 92-106,*,42:50,12,20,.600,0,2,.000,12,18,.667,.600,1,3,.333,2,4,6,9,4,0,2,3,25,24.7,-9
2,2,2,2003-10-30,CLE,@,PHO,L 86-95,*,40:21,8,17,.471,1,5,.200,7,12,.583,.500,4,7,.571,2,10,12,8,1,0,7,1,21,14.7,-3
3,3,3,2003-11-01,CLE,@,POR,L 85-104,*,39:10,3,12,.250,0,1,.000,3,11,.273,.250,2,2,1.000,0,4,4,6,2,0,2,3,8,5.0,-21
4,4,4,2003-11-05,CLE,,DEN,L 89-93,*,41:06,3,11,.273,0,2,.000,3,9,.333,.273,1,1,1.000,2,9,11,7,2,3,2,1,7,11.2,-3
5,5,5,2003-11-07,CLE,@,IND,L 90-91,*,43:44,8,18,.444,1,2,.500,7,16,.438,.472,6,7,.857,0,5,5,3,0,0,7,2,23,9.0,-7
6,6,6,2003-11-08,CLE,,WAS,W 111-98,*,44:30,8,19,.421,0,0,,8,19,.421,.421,1,4,.250,5,3,8,9,1,1,2,1,17,15.7,14
7,7,7,2003-11-10,CLE,,NYK,W 94-80,*,33:39,7,12,.583,3,3,1.000,4,9,.444,.708,0,0,,1,4,5,4,1,1,2,0,17,15.8,20
8,8,8,2003-11-12,CLE,@,MIA,L 83-88,*,42:40,6,15,.400,2,5,.400,4,10,.400,.467,4,6,.667,1,2,3,7,2,1,4,3,18,12.8,-4
9,9,9,2003-11-14,CLE,@,BOS,L 82-91,*,35:36,3,12,.250,2,4,.500,1,8,.125,.333,2,4,.500,1,4,5,3,0,0,4,3,10,0.8,-1
10,10,10,2003-11-15,CLE,,PHI,W 91-88 (OT),*,46:57,10,19,.526,0,1,.000,10,18,.556,.526,2,4,.500,0,5,5,8,1,2,5,2,22,15.6,8
11,11,11,2003-11-18,CLE,,LAC,W 103-95,*,39:25,6,16,.375,0,2,.000,6,14,.429,.375,2,4,.500,2,5,7,8,0,1,3,2,14,9.8,1
12,12,12,2003-11-19,CLE,@,WAS,L 95-106,*,39:09,10,18,.556,2,4,.500,8,14,.571,.611,6,8,.750,2,5,7,8,2,1,4,2,28,25.0,-5
13,13,13,2003-11-21,CLE,,MIN,L 83-97,*,35:18,8,19,.421,0,2,.000,8,17,.471,.421,3,3,1.000,2,7,9,2,1,0,1,4,19,12.2,-5
14,14,14,2003-11-22,CLE,@,ATL,L 83-92,*,42:18,3,16,.188,0,1,.000,3,15,.200,.188,9,10,.900,2,4,6,4,2,1,3,1,15,9.3,-6
15,15,15,2003-11-26,CLE,@,NOH,L 72-82,*,38:48,5,17,.294,1,4,.250,4,13,.308,.324,4,4,1.000,2,6,8,9,0,0,4,1,15,10.2,-13
16,16,16,2003-11-28,CLE,@,DET,L 88-92,*,36:27,2,8,.250,0,2,.000,2,6,.333,.250,2,3,.667,0,2,2,7,0,0,4,3,6,1.1,-10
17,17,17,2003-11-29,CLE,,MEM,L 115-122 (2OT),*,54:41,14,28,.500,3,6,.500,11,22,.500,.554,2,3,.667,2,14,16,7,1,1,8,1,33,22.4,-10
18,18,18,2003-12-02,CLE,@,DEN,L 103-115,*,32:31,6,19,.316,2,3,.667,4,16,.250,.368,5,7,.714,3,3,6,5,2,0,2,4,19,12.2,-12
19,19,19,2003-12-03,CLE,@,LAC,L 80-90,*,34:05,2,13,.154,0,3,.000,2,10,.200,.154,0,0,,4,2,6,8,2,0,5,2,4,0.9,3
20,20,20,2003-12-06,CLE,,ATL,W 95-85,*,36:04,4,12,.333,0,2,.000,4,10,.400,.333,0,0,,1,5,6,5,2,1,3,2,8,5.8,-5
21,21,21,2003-12-09,CLE,,TOR,L 93-100,*,37:03,7,16,.438,0,0,,7,16,.438,.438,4,4,1.000,0,5,5,3,1,0,2,2,18,11.4,-2
22,22,22,2003-12-11,CLE,,DET,W 95-86,*,42:46,8,21,.381,1,3,.333,7,18,.389,.405,6,8,.750,1,2,3,9,1,1,4,3,23,14.8,9
23,23,23,2003-12-13,CLE,,BOS,L 98-105,*,45:25,10,20,.500,1,5,.200,9,15,.600,.525,16,18,.889,1,2,3,4,0,0,2,2,37,27.5,-2
24,24,24,2003-12-15,CLE,@,IND,L 85-95,*,43:40,10,16,.625,0,3,.000,10,13,.769,.625,7,8,.875,1,3,4,6,3,3,6,1,27,23.9,-12
25,25,25,2003-12-17,CLE,,HOU,L 85-89,*,36:00,7,19,.368,2,4,.500,5,15,.333,.421,1,2,.500,0,1,1,3,0,0,2,2,17,5.7,-9
26,26,26,2003-12-19,CLE,@,PHI,W 88-81,*,41:41,14,24,.583,5,7,.714,9,17,.529,.688,3,3,1.000,1,3,4,5,4,0,4,1,36,29.5,9
27,27,27,2003-12-20,CLE,@,CHI,W 95-87,*,41:44,11,22,.500,0,5,.000,11,17,.647,.500,10,12,.833,1,5,6,10,2,2,4,2,32,28.0,9
28,28,28,2003-12-23,CLE,,NOH,W 97-86,*,39:10,7,22,.318,1,6,.167,6,16,.375,.341,7,8,.875,2,4,6,2,6,1,5,1,22,14.3,9
29,29,29,2003-12-25,CLE,@,ORL,L 101-113 (OT),*,47:06,13,28,.464,4,10,.400,9,18,.500,.536,4,5,.800,1,1,2,6,2,1,8,0,34,19.1,-9
30,30,30,2003-12-26,CLE,,CHI,L 80-87,*,34:20,7,24,.292,1,4,.250,6,20,.300,.313,3,4,.750,1,2,3,4,1,2,5,0,18,5.1,-12
31,31,31,2003-12-28,CLE,,POR,W 86-74,*,39:05,15,23,.652,0,2,.000,15,21,.714,.652,2,2,1.000,3,7,10,9,3,0,5,1,32,30.0,11
32,32,32,2003-12-30,CLE,,IND,L 89-92,*,38:07,9,20,.450,0,4,.000,9,16,.563,.450,4,6,.667,2,8,10,4,0,0,4,2,22,12.6,-2
33,33,33,2004-01-02,CLE,@,NJN,L 82-97,*,36:04,6,19,.316,0,4,.000,6,15,.400,.316,2,4,.500,1,3,4,9,1,0,3,2,14,7.4,-14
34,34,34,2004-01-06,CLE,,NYK,W 107-96,*,41:25,6,17,.353,0,2,.000,6,15,.400,.353,2,2,1.000,0,4,4,10,1,1,4,1,14,10.0,10
35,35,35,2004-01-07,CLE,@,TOR,L 69-75,*,38:14,10,23,.435,0,3,.000,10,20,.500,.435,1,2,.500,0,2,2,5,0,0,2,3,21,9.4,-2
36,36,36,2004-01-09,CLE,@,BOS,L 82-107,*,42:13,7,19,.368,0,3,.000,7,16,.438,.368,5,7,.714,0,3,3,6,3,0,5,1,19,10.4,-30
37,37,37,2004-01-12,CLE,@,LAL,L 79-89,*,36:26,6,20,.300,0,3,.000,6,17,.353,.300,4,5,.800,1,4,5,7,1,1,6,3,16,5.3,3
38,38,38,2004-01-13,CLE,@,SEA,W 104-96,*,43:54,11,26,.423,0,1,.000,11,25,.440,.423,5,6,.833,4,5,9,9,2,0,4,2,27,20.6,11
39,39,39,2004-01-15,CLE,@,GSW,L 102-119,*,43:25,8,21,.381,2,5,.400,6,16,.375,.429,11,13,.846,2,4,6,6,3,0,2,0,29,24.5,-14
40,40,40,2004-01-17,CLE,@,UTA,W 102-96 (OT),*,44:25,12,28,.429,2,4,.500,10,24,.417,.464,3,5,.600,1,6,7,2,2,1,4,2,29,15.2,8
40,,41,2004-01-20,CLE,,SEA,W 99-94,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,42,2004-01-22,CLE,,SAC,L 89-95,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,43,2004-01-24,CLE,,PHI,W 95-87,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,41,44,2004-01-26,CLE,,ORL,W 99-98,*,29:58,7,19,.368,1,2,.500,6,17,.353,.395,1,2,.500,0,5,5,3,0,2,3,4,16,5.5,-10
42,42,45,2004-01-28,CLE,,MIA,W 94-93,*,44:24,10,25,.400,0,1,.000,10,24,.417,.400,7,10,.700,0,5,5,4,2,1,1,1,27,17.9,2
43,43,46,2004-01-30,CLE,@,MIL,L 95-101,*,37:17,7,25,.280,1,6,.167,6,19,.316,.300,5,8,.625,2,6,8,3,1,0,5,5,20,3.4,3
44,44,47,2004-02-01,CLE,@,WAS,W 104-100,*,43:24,14,27,.519,1,2,.500,13,25,.520,.537,9,11,.818,3,3,6,4,0,2,6,4,38,23.5,0
45,45,48,2004-02-03,CLE,@,DET,W 85-82,*,38:11,5,19,.263,0,1,.000,5,18,.278,.263,2,2,1.000,1,3,4,6,2,0,1,2,12,6.7,-1
46,46,49,2004-02-04,CLE,,LAL,L 106-111 (OT),*,43:05,12,26,.462,4,4,1.000,8,22,.364,.538,4,5,.800,0,4,4,4,0,0,0,0,32,22.2,-2
47,47,50,2004-02-06,CLE,@,MIN,L 92-103,*,44:35,6,18,.333,1,3,.333,5,15,.333,.361,1,4,.250,1,8,9,5,0,0,3,2,14,5.4,-16
48,48,51,2004-02-07,CLE,,WAS,L 88-106,*,34:04,6,16,.375,0,0,,6,16,.375,.375,2,2,1.000,0,0,0,6,4,1,3,2,14,10.3,-24
49,49,52,2004-02-09,CLE,,BOS,W 97-89,*,43:18,9,25,.360,1,6,.167,8,19,.421,.380,5,6,.833,0,6,6,3,2,1,1,3,24,14.1,19
50,50,53,2004-02-11,CLE,,NJN,L 85-105,*,29:32,2,13,.154,0,1,.000,2,12,.167,.154,5,5,1.000,1,1,2,5,1,0,5,0,9,1.2,-12
51,51,54,2004-02-18,CLE,,DAL,L 98-114,*,33:39,6,12,.500,0,0,,6,12,.500,.500,4,4,1.000,2,2,4,9,0,1,5,2,16,13.2,-15
52,52,55,2004-02-20,CLE,,SAS,W 89-87,*,39:37,14,23,.609,0,0,,14,23,.609,.609,4,4,1.000,2,9,11,2,2,1,2,0,32,27.7,3
53,53,56,2004-02-22,CLE,@,NYK,W 92-86,*,43:47,7,20,.350,0,0,,7,20,.350,.350,8,12,.667,1,4,5,3,1,0,1,2,22,12.4,11
54,54,57,2004-02-23,CLE,,NOH,W 104-100,*,36:36,7,16,.438,1,5,.200,6,11,.545,.469,6,6,1.000,0,4,4,6,2,5,1,3,21,21.3,4
55,55,58,2004-02-25,CLE,@,HOU,L 84-90,*,38:38,5,18,.278,0,2,.000,5,16,.313,.278,1,3,.333,2,5,7,5,2,1,2,1,11,6.3,-5
56,56,59,2004-02-27,CLE,@,ORL,W 112-107 (OT),*,49:13,11,19,.579,1,1,1.000,10,18,.556,.605,7,8,.875,1,10,11,3,3,1,5,1,30,24.8,7
57,57,60,2004-03-01,CLE,@,CHI,L 81-92,*,40:48,7,17,.412,0,2,.000,7,15,.467,.412,4,6,.667,0,3,3,3,4,1,3,2,18,12.0,-4
58,58,61,2004-03-03,CLE,,ATL,W 112-80,*,27:36,9,17,.529,1,2,.500,8,15,.533,.559,5,6,.833,1,6,7,3,1,1,1,0,24,20.6,22
59,59,62,2004-03-05,CLE,@,NOH,W 88-85,*,37:47,7,17,.412,2,2,1.000,5,15,.333,.471,3,4,.750,2,4,6,4,2,0,4,5,19,10.9,1
60,60,63,2004-03-06,CLE,,MIL,W 106-97,*,42:42,11,24,.458,0,3,.000,11,21,.524,.458,2,3,.667,2,5,7,10,4,1,2,3,24,22.6,9
61,61,64,2004-03-08,CLE,@,ATL,W 108-102,*,45:06,11,23,.478,1,4,.250,10,19,.526,.500,11,13,.846,2,4,6,7,1,0,2,1,34,27.6,11
62,62,65,2004-03-10,CLE,@,TOR,W 106-92,*,33:46,4,13,.308,0,0,,4,13,.308,.308,6,7,.857,1,2,3,4,1,0,2,2,14,8.4,16
63,63,66,2004-03-14,CLE,,IND,W 107-104,*,44:09,12,22,.545,0,2,.000,12,20,.600,.545,2,4,.500,0,3,3,4,3,1,4,3,26,16.8,5
64,64,67,2004-03-16,CLE,,CHI,W 111-87,*,32:08,5,16,.313,2,3,.667,3,13,.231,.375,5,8,.625,3,2,5,8,0,5,4,1,17,14.0,24
65,65,68,2004-03-19,CLE,,UTA,L 88-97,*,34:16,4,14,.286,0,2,.000,4,12,.333,.286,6,10,.600,0,0,0,7,2,1,2,3,14,8.6,-2
66,66,69,2004-03-21,CLE,,DET,L 76-96,*,36:45,5,17,.294,1,4,.250,4,13,.308,.324,4,5,.800,2,5,7,3,0,2,4,4,15,5.5,-21
67,67,70,2004-03-23,CLE,,PHO,L 86-103,*,40:58,8,21,.381,2,5,.400,6,16,.375,.429,7,9,.778,1,1,2,6,3,1,5,0,25,16.6,-12
68,68,71,2004-03-26,CLE,@,PHI,L 71-86,*,32:46,5,13,.385,1,2,.500,4,11,.364,.423,5,9,.556,2,1,3,7,0,1,5,1,16,9.2,-24
